INDEX:5650:<DateTimeISO>,AAPL_Open:5650:<double>,AAPL_High:5650:<double>,AAPL_Low:5650:<double>,AAPL_Close:5650:<double>,AAPL_Adj_Close:5650:<double>,AAPL_Volume:5650:<long>
2000-01-03,0.936384,1.004464,0.907924,0.999442,0.854541,535796800
2000-01-04,0.966518,0.987723,0.903460,0.915179,0.782495,512377600
2000-01-05,0.926339,0.987165,0.919643,0.928571,0.793945,778321600
2000-01-06,0.947545,0.955357,0.848214,0.848214,0.725238,767972800
2000-01-07,0.861607,0.901786,0.852679,0.888393,0.759592,460734400
2000-01-10,0.910714,0.912946,0.845982,0.872768,0.746232,505064000
2000-01-11,0.856585,0.887277,0.808036,0.828125,0.708062,441548800
2000-01-12,0.848214,0.852679,0.772321,0.778460,0.665597,976068800
2000-01-13,0.843610,0.881696,0.825893,0.863839,0.738598,1032684800
2000-01-14,0.892857,0.912946,0.887277,0.896763,0.766749,390376000
2000-01-18,0.901786,0.946429,0.896763,0.928013,0.793468,459177600
2000-01-19,0.943080,0.970982,0.922991,0.951451,0.813508,597643200
2000-01-20,1.031250,1.084821,1.013393,1.013393,0.866469,1831132800
2000-01-21,1.020089,1.020089,0.983817,0.993862,0.849770,495924800
2000-01-24,0.968192,1.006696,0.938616,0.948661,0.811122,440876800
2000-01-25,0.937500,1.010045,0.914063,1.002232,0.856926,497145600
2000-01-26,0.982143,1.019531,0.979911,0.983817,0.841181,367158400
2000-01-27,0.971540,1.008929,0.955357,0.982143,0.839750,340144000
2000-01-28,0.965960,0.989955,0.898438,0.907366,0.775814,423348800
2000-01-31,0.901786,0.927455,0.843750,0.926339,0.792036,701680000
2000-02-01,0.928571,0.937500,0.892857,0.895089,0.765317,318035200
2000-02-02,0.899554,0.911830,0.866071,0.882254,0.754343,464195200
2000-02-03,0.895647,0.930804,0.895089,0.922433,0.788697,475193600
2000-02-04,0.928013,0.982143,0.925223,0.964286,0.824482,425320000
2000-02-07,0.964286,1.020089,0.945871,1.018415,0.870763,441067200
2000-02-08,1.017857,1.036830,0.993304,1.025670,0.876966,408643200
2000-02-09,1.018973,1.045759,1.003906,1.005580,0.859789,299364800
2000-02-10,1.007813,1.016741,0.982143,1.013393,0.866469,302982400
2000-02-11,1.014509,1.018973,0.966518,0.970982,0.830207,212251200
2000-02-14,0.976004,1.034598,0.969866,1.034040,0.884123,367539200
2000-02-15,1.029018,1.070871,1.028460,1.062500,0.908457,485744000
2000-02-16,1.051339,1.054688,1.001116,1.018973,0.871240,378246400
2000-02-17,1.028460,1.031250,1.010045,1.025670,0.876966,289497600
2000-02-18,1.023438,1.030134,0.989955,0.993304,0.849293,233441600
2000-02-22,0.983259,1.044085,0.952567,1.016183,0.868855,422296000
2000-02-23,1.011021,1.062500,0.991071,1.037946,0.887462,473099200
2000-02-24,1.047433,1.063616,0.997768,1.028599,0.879471,376432000
2000-02-25,1.025112,1.044643,0.983259,0.985491,0.842612,249144000
2000-02-28,0.983259,1.026786,0.967634,1.011161,0.864561,328328000
2000-02-29,1.013951,1.046875,1.005022,1.023438,0.875058,368961600
2000-03-01,1.058594,1.179129,1.058036,1.163504,0.994817,1077003200
2000-03-02,1.133929,1.142299,1.077567,1.089286,0.931359,311259200
2000-03-03,1.114955,1.144950,1.071429,1.142857,0.977163,323366400
2000-03-06,1.125000,1.152902,1.116071,1.122210,0.959509,210560000
2000-03-07,1.128906,1.137835,1.081473,1.097098,0.938039,273011200
2000-03-08,1.097098,1.106585,1.058594,1.089286,0.931359,271230400
2000-03-09,1.079241,1.116071,1.055804,1.091518,0.933267,276718400
2000-03-10,1.086496,1.142299,1.080357,1.122768,0.959987,248606400
2000-03-13,1.090402,1.129464,1.066964,1.083147,0.926110,303956800
2000-03-14,1.082310,1.109375,1.017857,1.020089,0.872195,428579200
2000-03-15,1.032366,1.073661,1.018973,1.037946,0.887462,443609600
2000-03-16,1.047433,1.089286,1.022321,1.085379,0.928019,378100800
2000-03-17,1.072545,1.116071,1.068080,1.116071,0.954261,305043200
2000-03-20,1.102679,1.127232,1.092634,1.098214,0.938993,204489600
2000-03-21,1.094308,1.220982,1.085938,1.204799,1.030125,524328000
