INDEX:635:<DateTimeISO>,IceCreamProduction:635:<double>
1972-01-01,60.1519
1972-02-01,67.2727
1972-03-01,74.4700
1972-04-01,78.3594
1972-05-01,85.0321
1972-06-01,100.9147
1972-07-01,100.4435
1972-08-01,96.6660
1972-09-01,86.0726
1972-10-01,70.6164
1972-11-01,60.9998
1972-12-01,58.8456
1973-01-01,61.2931
1973-02-01,72.4348
1973-03-01,80.3520
1973-04-01,84.1715
1973-05-01,87.6478
1973-06-01,110.0942
1973-07-01,107.7149
1973-08-01,99.9790
1973-09-01,91.9177
1973-10-01,75.5438
1973-11-01,66.1435
1973-12-01,61.7258
1974-01-01,63.1798
1974-02-01,75.5842
1974-03-01,84.5364
1974-04-01,84.8576
1974-05-01,90.8280
1974-06-01,110.2529
1974-07-01,104.2216
1974-08-01,101.3487
1974-09-01,89.7618
1974-10-01,73.9304
1974-11-01,66.3684
1974-12-01,61.2601
1975-01-01,64.4709
1975-02-01,75.6578
1975-03-01,85.4402
1975-04-01,85.3624
1975-05-01,97.6645
1975-06-01,113.8854
1975-07-01,108.4877
1975-08-01,105.1560
1975-09-01,90.3995
1975-10-01,75.9565
1975-11-01,70.4368
1975-12-01,62.9397
1976-01-01,62.1351
1976-02-01,74.2904
1976-03-01,87.2353
1976-04-01,90.4115
1976-05-01,94.4474
1976-06-01,110.3689
1976-07-01,107.7978
1976-08-01,104.1442
1976-09-01,92.5289
1976-10-01,75.3414
1976-11-01,67.7471
1976-12-01,62.6830
1977-01-01,63.9736
1977-02-01,75.3040
1977-03-01,90.3132
1977-04-01,92.9661
1977-05-01,99.4430
1977-06-01,115.0970
1977-07-01,112.6955
1977-08-01,106.7592
1977-09-01,92.0182
1977-10-01,76.2689
1977-11-01,67.6091
1977-12-01,61.6365
1978-01-01,62.0831
1978-02-01,73.0995
1978-03-01,84.1928
1978-04-01,89.3351
1978-05-01,92.7374
1978-06-01,111.6682
1978-07-01,107.2537
1978-08-01,104.0099
1978-09-01,90.8991
1978-10-01,79.4290
1978-11-01,68.0961
1978-12-01,62.5984
1979-01-01,63.2103
1979-02-01,74.1746
1979-03-01,86.7026
1979-04-01,91.4946
1979-05-01,95.0054
1979-06-01,110.4592
1979-07-01,107.5017
1979-08-01,107.1194
1979-09-01,95.6261
1979-10-01,79.8563
1979-11-01,68.1130
1979-12-01,63.4900
