INDEX:1721:<string>,IBM_Open:1721:<double>,IBM_High:1721:<double>,IBM_Low:1721:<double>,IBM_Close:1721:<double>,IBM_Adj_Close:1721:<double>,IBM_Volume:1721:<long>
2014-01-02,187.210007,187.399994,185.199997,185.529999,140.697495,4546500
2014-01-03,185.830002,187.350006,185.300003,186.639999,141.539261,4063200
2014-01-06,187.149994,187.360001,185.300003,186.000000,141.053940,4067800
2014-01-07,186.389999,190.350006,186.380005,189.710007,143.867477,5932300
2014-01-08,189.330002,189.419998,187.259995,187.970001,142.547913,4603700
2014-01-09,189.020004,189.500000,186.550003,187.380005,142.100449,4321300
2014-01-10,188.309998,188.570007,186.279999,187.259995,142.009460,4022400
2014-01-13,186.259995,186.949997,183.860001,184.160004,139.658600,5784700
2014-01-14,185.059998,186.429993,183.880005,185.919998,140.993225,4619200
2014-01-15,185.820007,188.649994,185.490005,187.740005,142.373489,4816500
2014-01-16,187.529999,188.990005,186.800003,188.759995,143.146988,4770300
2014-01-17,188.039993,190.809998,187.860001,190.089996,144.155609,7644600
2014-01-21,190.229996,190.389999,186.789993,188.429993,142.896774,11076300
2014-01-22,181.279999,183.500000,179.669998,182.250000,138.210129,13796100
2014-01-23,181.429993,183.720001,180.710007,182.729996,138.574127,6973900
2014-01-24,181.250000,182.809998,179.639999,179.639999,136.230804,6890600
2014-01-27,179.610001,179.649994,177.660004,177.899994,134.911270,5208600
2014-01-28,178.050003,178.449997,176.160004,176.850006,134.114990,5333300
2014-01-29,175.979996,178.529999,175.889999,176.399994,133.773727,4970900
2014-01-30,177.169998,177.860001,176.360001,177.360001,134.501740,4853700
2014-01-31,176.110001,177.839996,175.339996,176.679993,133.986053,5193400
2014-02-03,176.020004,176.020004,172.720001,172.899994,131.119507,7186800
2014-02-04,173.529999,173.750000,172.360001,172.839996,131.073975,4349800
2014-02-05,172.190002,174.970001,172.190002,174.240005,132.135681,4712300
2014-02-06,173.970001,174.850006,173.789993,174.669998,133.187943,4292200
2014-02-07,175.639999,177.559998,175.070007,177.250000,135.155258,4692900
2014-02-10,176.970001,177.649994,176.250000,177.139999,135.071350,3540400
2014-02-11,176.809998,180.389999,176.800003,179.699997,137.023422,4647300
2014-02-12,179.520004,181.250000,179.259995,180.240005,137.435165,3983000
