INDEX:28:<ulong>,ul_col:28:<ulong>,dbl_col_2:26:<double>,bool_col:6:<bool>,str_col:25:<string>,xint_col:28:<int>,dbl_col:27:<double>,char_col:27:<char>,uchar_col:27:<uchar>
123450,123450,0.998,1,4% of something,1,1.2345,C,B
123451,123451,0.3456,1,Description 4/5,2,2.2345,23,B
123452,123452,0.056,1,This is bad,3,3.2345,^,&
123450,123450,0.15678,0,3.4% of GDP,4,4.2345,F,250
123455,123455,0.00345,0,Market drops,5,5.2345,120,B
123450,123450,0.923,1,Market pulls back,3,3,78,B
123449,123449,0.06743,,$15 increase,7,0.9999,,B
123450,123450,0.1,,Running fast,3,10,C,B
123451,123451,0.0056,,C++14 development,9,4.25,C,
123450,123450,0.07865,,Some explanation,10,0.009,C,B
123452,123452,0.0111,,More strings,3,8,C,B
123450,123450,0.1002,,Bonds vs. Equities,2,2.2222,C,40
123455,123455,-0.8888,,Almost done,3,3.3333,C,B
123450,123450,0.14,,XXXX04,14,11,C,B
123454,123454,0.0456,,XXXX2,2,5.25,C,B
123450,123450,0.078654,,XXXX3,2,1.009,,
123450,123450,-0.8999,,XXXX4,2,2.111,C,
123457,123457,0.8002,,XXXX4,3,9,C,B
123458,123458,-0.9888,,XXXX5,2,3.2222,,B
123459,123459,0.2,,XXXX6,3,4.3333,C,B
123450,123450,0.1056,,XXXX7,3,12,C,B
123441,123441,0.87865,,XXXX10,3,6.25,C,B
123442,123442,-0.6999,,XXXX11,3,2.009,C,B
123432,123432,0.4111,,XXXX02,3,3.111,C,B
123450,123450,0.1902,,XXXX03,36,10,C,B
123450,123450,-0.4888,,,2,4.2222,C,B
123435,123435,,,,45,5.3333,C,B
123450,123450,,,,2,,C,B
